จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนสถานธนานุบาลในสังกัด(แห่ง),จำนวนโรงฆ่าสัตว์ของอปท(แห่ง),จำนวนโรงฆ่าสัตว์ของรัฐ(แห่ง),จำนวนโรงฆ่าสัตว์ของเอกชน(แห่ง)
กระบี่,62,6,4,0,7
กาญจนบุรี,122,6,6,10,48
กาฬสินธุ์,151,10,14,15,39
กำแพงเพชร,90,5,5,2,29
ขอนแก่น,225,223,13,9,22
จันทบุรี,82,5,6,2,11
ฉะเชิงเทรา,109,15,2,1,44
ชลบุรี,99,11,7,1,57
ชัยนาท,60,3,4,1,8
ชัยภูมิ,143,11,13,7,34
ชุมพร,79,5,5,3,2
เชียงราย,144,7,15,5,6
เชียงใหม่,211,14,11,1,30
ตรัง,100,9,7,1,2
ตราด,44,2,3,3,6
ตาก,69,6,14,2,10
นครนายก,46,6,3,13,4
นครปฐม,117,9,5,9,50
นครพนม,104,1,13,2,9
นครราชสีมา,334,26,7,7,60
นครศรีธรรมราช,185,15,9,79,18
นครสวรรค์,143,12,12,0,23
นนทบุรี,46,15,0,1,1
นราธิวาส,89,6,6,0,4
น่าน,100,6,10,4,16
บึงกาฬ,60,2,7,2,2
บุรีรัมย์,208,17,6,5,28
ปทุมธานี,65,6,1,0,13
ประจวบคีรีขันธ์,61,3,7,2,18
ปราจีนบุรี,70,5,5,0,22
ปัตตานี,114,7,5,0,6
พระนครศรีอยุธยา,158,18,6,0,9
พะเยา,72,3,11,9,40
พังงา,52,3,5,0,6
พัทลุง,74,5,9,10,9
พิจิตร,102,8,6,1,32
พิษณุโลก,103,3,6,0,15
เพชรบุรี,85,8,3,3,83
เพชรบูรณ์,128,7,7,7,11
แพร่,84,5,11,4,15
ภูเก็ต,19,4,1,0,5
มหาสารคาม,143,4,11,4,10
มุกดาหาร,55,3,4,0,1
แม่ฮ่องสอน,50,3,4,2,12
ยโสธร,88,5,12,2,13
ยะลา,64,6,3,0,5
ร้อยเอ็ด,203,11,29,1,40
ระนอง,31,3,6,0,0
ระยอง,68,6,7,0,15
ราชบุรี,112,6,5,7,36
ลพบุรี,126,9,8,1,8
ลำปาง,104,4,15,1,6
ลำพูน,58,6,3,2,27
เลย,101,7,8,1,22
ศรีสะเกษ,217,15,7,7,51
สกลนคร,141,9,19,0,10
สงขลา,141,17,5,0,13
สตูล,42,3,1,0,4
สมุทรปราการ,49,18,0,3,3
สมุทรสงคราม,36,5,0,0,0
สมุทรสาคร,38,5,1,0,2
สระแก้ว,66,4,5,1,21
สระบุรี,109,9,8,0,11
สิงห์บุรี,42,2,3,3,2
สุโขทัย,91,5,6,0,2
สุพรรณบุรี,127,5,8,4,16
สุราษฎร์ธานี,138,9,5,2,17
สุรินทร์,173,23,8,2,9
หนองคาย,68,3,10,2,5
หนองบัวลำภู,68,5,15,0,7
อ่างทอง,65,8,4,1,11
อำนาจเจริญ,64,2,1,3,26
อุดรธานี,181,14,18,6,14
อุตรดิตถ์,80,2,3,2,10
อุทัยธานี,64,8,7,0,25
อุบลราชธานี,239,30,16,6,47
รวม,7851,812,555,284,1355
