จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนโรงบำบัดน้ำเสีย(แห่ง),ปริมาณน้ำเสีย(ลบ.ม./วัน),ปริมาณน้ำเสียที่บำบัดได้(ลบ.ม./วัน),รถยนต์เก็บขยะ   จำนวน(คัน)
กระบี่,62,8,"17,500","24,387",75
กาญจนบุรี,122,9,"16,050","15,350",129
กาฬสินธุ์,151,6,"7,145","7,562",167
กำแพงเพชร,90,6,"14,389","10,169",70
ขอนแก่น,225,11,"46,191","79,457",368
จันทบุรี,82,8,"14,986","22,479",116
ฉะเชิงเทรา,109,89,"34,815","34,748",130
ชลบุรี,99,21,"247,363","152,323",375
ชัยนาท,60,2,"4,776","3,550",75
ชัยภูมิ,143,9,"1,083,617","1,060,031",160
ชุมพร,79,6,"2,107,893","10,658,073",84
เชียงราย,144,11,"10,960","27,473",120
เชียงใหม่,211,22,"18,802","17,618",261
ตรัง,100,7,"27,251","26,700",104
ตราด,44,0,0,0,57
ตาก,69,3,"7,678","11,640",69
นครนายก,46,0,0,0,39
นครปฐม,117,86,"119,396","34,570",228
นครพนม,104,13,766,444,88
นครราชสีมา,334,44,"104,793","86,539",379
นครศรีธรรมราช,185,15,"224,827","16,126",217
นครสวรรค์,143,24,"73,047","45,718",154
นนทบุรี,46,13,"28,905","46,959",352
นราธิวาส,89,5,"1,504","1,504",116
น่าน,100,5,"4,767","4,067",54
บึงกาฬ,60,1,350,0,76
บุรีรัมย์,209,6,"26,621","25,297",209
ปทุมธานี,65,25,"100,665","1,637,360",319
ประจวบคีรีขันธ์,61,22,"93,459","29,450",96
ปราจีนบุรี,70,67,"429,004","295,975",89
ปัตตานี,114,4,"11,338","5,665",134
พระนครศรีอยุธยา,158,7,"247,119","155,756",248
พะเยา,72,8,"2,790","5,790",66
พังงา,52,1,90,50,68
พัทลุง,74,8,"13,368","4,681",66
พิจิตร,102,6,"95,601","5,951",67
พิษณุโลก,103,11,"19,988","4,045",98
เพชรบุรี,85,5,"9,856","9,966",107
เพชรบูรณ์,128,15,"6,325","3,300",139
แพร่,84,3,"5,314","3,090",86
ภูเก็ต,19,6,"97,500","92,500",147
มหาสารคาม,143,2,"14,125","8,285",110
มุกดาหาร,55,5,"14,796","11,296",33
แม่ฮ่องสอน,50,0,0,0,39
ยโสธร,88,2,"4,793","2,666",91
ยะลา,64,3,"12,000","6,010",108
ร้อยเอ็ด,203,5,"4,656","1,425",137
ระนอง,31,34,"2,886","3,854",36
ระยอง,68,23,"28,900","20,316",178
ราชบุรี,112,4,"26,381","12,609",128
ลพบุรี,126,25,"28,768","9,481",128
ลำปาง,104,22,"20,657","7,120",149
ลำพูน,58,9,"20,392","20,365",37
เลย,101,10,"15,342","12,159",120
ศรีสะเกษ,217,8,"3,632","5,118",83
สกลนคร,141,9,"10,977","19,590",123
สงขลา,141,59,"587,123","6,589,629",343
สตูล,42,1,"5,004",48,58
สมุทรปราการ,49,9,"103,209","80,759",307
สมุทรสงคราม,36,1,300,300,31
สมุทรสาคร,38,144,"41,691","527,742",143
สระแก้ว,66,3,"80,125",30,64
สระบุรี,109,14,"33,373","16,797",198
สิงห์บุรี,42,4,"4,500","4,505",46
สุโขทัย,91,9,"9,056","6,850",87
สุพรรณบุรี,127,14,"24,606","12,019",131
สุราษฎร์ธานี,138,13,"33,176","31,644",176
สุรินทร์,173,67,"14,554","10,454",60
หนองคาย,68,3,"1,705","1,500",118
หนองบัวลำภู,68,0,"1,700",0,82
อ่างทอง,65,2,3,"2,503",66
อำนาจเจริญ,64,1,"8,383",150,51
อุดรธานี,181,8,"201,520","4,248",293
อุตรดิตถ์,80,1,"8,446",0,85
อุทัยธานี,64,1,0,0,42
อุบลราชธานี,239,5,"23,440","24,437",191
รวม,"7,852","1,138","6,767,028","22,120,272","10,074"
ข้อมูล ณ วันที่ 06/06/2559 12:15,,,,,
